soil_resolution,function,id,filename
9x9x9,C_0060_Feldspar_Fill,003133,9x9x9_C_0060_Feldspar_Fill_003133
9x9x9,C_0600_Feldspar_Fill,003142,9x9x9_C_0600_Feldspar_Fill_003142
